SMILES,Molecule Name,LogD,LogS,Log_HLM_CLint,Log_MLM_CLint,Log_Caco_Papp_AB,Log_Caco_ER,Log_Mouse_PPB,Log_Mouse_BPB,Log_Mouse_MPB
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,,,1.7589118923979734,2.2631624649622166,,,,,
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,,,2.2079035303860515,3.13100881279064,,,,,
Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,E-0001827,,,,2.2889196056617265,,,,,
CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,E-0002019,,,1.021189299069938,,,,,,
CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002036,,,,2.2121876044039577,,,,,0.005266332972768842
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,,,1.2988530764097066,1.8142475957319202,,,,,
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,,,1.2013971243204515,1.826722520168992,,,,,
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,,,1.2041199826559248,2.225309281725863,,,,,
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,,,2.3879234669734366,1.8959747323590646,,,,,
CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,E-0003046,,,0.9912260756924949,,,,,,
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,E-0003079,,,0.9242792860618817,2.5352941200427703,,,,,
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,E-0003089,,,1.1818435879447726,1.9232440186302764,,,,,
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,E-0003090,,,1.2988530764097066,2.5276299008713385,,,,,
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010021,,,1.0374264979406236,2.2576785748691846,,,,,
